Search term	Impressions	Clicks	CTR	CPC	Spend	Seven_Day_Total_Sales	ACoS	RoAS	Seven_Day_Total_Orders	Seven_Day_Total_Units	Seven_Day_Total_Rate	Seven_Day_Advertised_SKU_Units	Seven_Day_Other_SKU_Units	Seven_Day_Advertised_SKU_Sales	Seven_Day_Other_SKU_Sales = 22	
personalized best boss ever	     3.000	     1.000	     0.333	     0.720	     0.720	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
personalized best boss ever gift	     3.000	     1.000	     0.333	     0.750	     0.750	    10.400	     0.072	    13.870	     1.000	     1.000	   100.000	     1.000	     0.000	    10.400	     0.000
boss appreciation gift	     5.000	     2.000	     0.400	     1.020	     1.020	     9.600	     0.106	    13.910	     1.000	     1.000	   100.000	     1.000	     0.000	     9.600	     0.000
boss gift cup	     2.000	     1.000	     0.500	     0.550	     0.550	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gift birthday for boss	     2.000	     1.000	     0.500	     0.590	     0.590	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gifts for bosses leaving	     2.000	     1.000	     0.500	     0.670	     0.670	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best boss coffee mug	    15.000	     3.000	     0.200	     1.920	     1.920	    12.890	     0.149	    20.790	     1.000	     1.000	   100.000	     1.000	     0.000	    12.890	     0.000
boss travel mug	    86.000	     3.000	     0.035	     2.660	     2.660	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gifts for a boss	    58.000	     5.000	     0.086	     3.660	     3.660	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
goodbye gift for boss	    27.000	     3.000	     0.111	     2.210	     2.210	    11.550	     0.191	    11.550	     1.000	     1.000	   100.000	     1.000	     0.000	    11.550	     0.000
mug for boss man	     7.000	     1.000	     0.143	     0.580	     0.580	     9.600	     0.060	    16.550	     1.000	     1.000	   100.000	     1.000	     0.000	     9.600	     0.000
sarcastic gifts for boss	     2.000	     1.000	     0.500	     0.710	     0.710	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gifts for a good boss	     1.000	     1.000	     1.000	     0.630	     0.630	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss retirement gifts	    12.000	     4.000	     0.333	     1.140	     2.270	    33.740	     0.067	    29.160	     3.000	     3.000	   150.000	     3.000	     0.000	    33.740	     0.000
mini best boss mug	     1.000	     1.000	     1.000	     0.640	     0.640	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
mug the boss couple	    10.000	     1.000	     0.100	     0.390	     0.390	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
the boss mug	   719.000	    12.000	     0.017	     5.460	     8.940	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
appreciation gifts for boss	     3.000	     1.000	     0.333	     0.720	     0.720	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds okayest boss travel mug	     8.000	     1.000	     0.125	     0.550	     0.550	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss birthday gifts for men	    17.000	     3.000	     0.176	     1.250	     1.860	    12.530	     0.148	    19.580	     1.000	     1.000	   100.000	     1.000	     0.000	    12.530	     0.000
boss bitch mug	    95.000	     3.000	     0.032	     1.550	     1.550	    12.530	     0.124	    24.570	     1.000	     1.000	   100.000	     1.000	     0.000	    12.530	     0.000
mugs for boss	   259.000	    11.000	     0.042	     7.800	     8.490	    26.240	     0.324	    29.990	     2.000	     2.000	   200.000	     2.000	     0.000	    26.240	     0.000
amazing mugs for boss	     2.000	     1.000	     0.500	     0.660	     0.660	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss ever coffee travel mug	    17.000	     2.000	     0.118	     1.330	     1.330	    12.990	     0.102	    15.000	     1.000	     1.000	   100.000	     1.000	     0.000	    12.990	     0.000
bosses day gifts	 58403.000	   175.000	     0.003	    26.370	   130.360	   337.050	     0.387	    71.210	    25.000	    26.000	   453.028	    26.000	     0.000	   337.050	     0.000
the office best boss mug	     8.000	     4.000	     0.500	     1.050	     2.090	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds greatest boss travel mug	     3.000	     1.000	     0.333	     0.570	     0.570	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss ever ribbon	     2.000	     1.000	     0.500	     0.500	     0.500	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss lady mugs	   750.000	    17.000	     0.023	    11.800	    11.800	    26.240	     0.450	    45.610	     2.000	     2.000	   200.000	     2.000	     0.000	    26.240	     0.000
boss mug gift	   174.000	     4.000	     0.023	     2.080	     2.980	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gifts for your boss birthday	     1.000	     1.000	     1.000	     0.330	     0.330	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss travel mug	    36.000	     5.000	     0.139	     4.580	     4.580	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
bird boss mug	     7.000	     1.000	     0.143	     0.670	     0.670	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
i'm the boss mug	    11.000	     3.000	     0.273	     1.070	     1.600	    25.060	     0.064	    23.420	     2.000	     2.000	   100.000	     2.000	     0.000	    25.060	     0.000
mugs for amazing boss	     2.000	     1.000	     0.500	     0.660	     0.660	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss lady ever	     6.000	     1.000	     0.167	     0.860	     0.860	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
dear boss mug	    33.000	     1.000	     0.030	     0.700	     0.700	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
