Search term	Impressions	Clicks	CTR	CPC	Spend	Seven_Day_Total_Sales	ACoS	RoAS	Seven_Day_Total_Orders	Seven_Day_Total_Units	Seven_Day_Total_Rate	Seven_Day_Advertised_SKU_Units	Seven_Day_Other_SKU_Units	Seven_Day_Advertised_SKU_Sales	Seven_Day_Other_SKU_Sales = 22	
boss lady sign	    63.000	     2.000	     0.032	     1.400	     1.400	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
wampumtuk boss mug	    97.000	     2.000	     0.021	     1.750	     1.750	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss mug the office middle finger	     1.000	     1.000	     1.000	     0.950	     0.950	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss lady purple	     2.000	     1.000	     0.500	     0.840	     0.840	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gift for woman boss	    56.000	     1.000	     0.018	     0.570	     0.570	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
disney boss mug	     1.000	     1.000	     1.000	     1.030	     1.030	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
seth best boss	     2.000	     1.000	     0.500	     0.870	     0.870	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss lady coffe cup	     1.000	     1.000	     1.000	     0.680	     0.680	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
lady boss mug	  1277.000	    15.000	     0.012	     9.940	    11.350	    11.150	     1.018	    11.860	     1.000	     1.000	   100.000	     1.000	     0.000	    11.150	     0.000
bosses coffee mug	   116.000	     2.000	     0.017	     1.270	     1.270	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gift for a boss	    15.000	     1.000	     0.067	     0.880	     0.880	    13.880	     0.063	    15.770	     1.000	     1.000	   100.000	     1.000	     0.000	    13.880	     0.000
gift for physician boss	     2.000	     1.000	     0.500	     0.820	     0.820	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
mug im the boss	     1.000	     1.000	     1.000	     0.930	     0.930	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss coffee mugs funny	     3.000	     1.000	     0.333	     0.870	     0.870	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
pub mug boss	     1.000	     1.000	     1.000	     0.910	     0.910	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gifts for boss in spanish	     1.000	     1.000	     1.000	     0.870	     0.870	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gifts for ur boss	     2.000	     1.000	     0.500	     0.790	     0.790	    13.880	     0.057	    17.570	     1.000	     1.000	   100.000	     1.000	     0.000	    13.880	     0.000
birthday present for lady boss	     1.000	     1.000	     1.000	     0.750	     0.750	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
happy boss day mug	     7.000	     1.000	     0.143	     1.080	     1.080	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
my boss mugs	     1.000	     1.000	     1.000	     0.990	     0.990	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
personalized world best boss nmug	     1.000	     1.000	     1.000	     0.840	     0.840	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
number 1 boss mug	     2.000	     1.000	     0.500	     0.810	     0.810	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gift for boss male software	     3.000	     1.000	     0.333	     0.860	     0.860	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss girl mug	     1.000	     1.000	     1.000	     1.130	     1.130	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss mug for women	    25.000	     1.000	     0.040	     0.500	     0.500	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss ever frame	     1.000	     1.000	     1.000	     0.540	     0.540	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
female boss	     1.000	     1.000	     1.000	     0.720	     0.720	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
happy birthday boss lady banner	     1.000	     1.000	     1.000	     0.760	     0.760	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gift for boss leaving for new job	     5.000	     1.000	     0.200	     0.820	     0.820	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
thank you gift for boss female	     4.000	     1.000	     0.250	     0.880	     0.880	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
birthday gift for male boss	     3.000	     1.000	     0.333	     0.850	     0.850	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gifts for boss men	    13.000	     2.000	     0.154	     1.780	     1.780	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
large best boss mug	     3.000	     1.000	     0.333	     1.040	     1.040	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
beat boss gift	     3.000	     1.000	     0.333	     0.820	     0.820	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gifts for boss as number 1 boss	     1.000	     1.000	     1.000	     0.750	     0.750	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
20 oz boss mug	     1.000	     1.000	     1.000	     0.710	     0.710	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
coffee mug girl boss	     3.000	     1.000	     0.333	     0.880	     0.880	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gifts for boss women	     3.000	     1.000	     0.333	     0.850	     0.850	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss leaving mug	     8.000	     2.000	     0.250	     1.740	     1.740	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
yoda boss mug	     1.000	     1.000	     1.000	     0.820	     0.820	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss banner	     4.000	     2.000	     0.500	     1.580	     1.580	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss lady gifts for women name plate	     1.000	     1.000	     1.000	     0.790	     0.790	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss lady mugs under 15	     1.000	     1.000	     1.000	     0.650	     0.650	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss lady coffee mugs	   243.000	    11.000	     0.045	     5.960	     9.610	    24.270	     0.396	    19.450	     2.000	     2.000	   125.000	     2.000	     0.000	    24.270	     0.000
boss lady mug purple	     4.000	     1.000	     0.250	     0.800	     0.800	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss lady picture	    25.000	     2.000	     0.080	     0.700	     1.390	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
mothers day gifts for boss	    11.000	     2.000	     0.182	     1.460	     1.460	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss lady decorations	    66.000	     1.000	     0.015	     0.800	     0.800	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss lady desk	     6.000	     1.000	     0.167	     0.770	     0.770	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
mothers+day+gift+for+boss	     2.000	     1.000	     0.500	     0.740	     0.740	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss lady coffee cup	   554.000	    10.000	     0.018	     6.400	     7.270	    13.120	     0.554	    19.010	     1.000	     1.000	   100.000	     1.000	     0.000	    13.120	     0.000
finance boss mug	     7.000	     1.000	     0.143	     0.810	     0.810	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
mug that says my favorite boss	     1.000	     1.000	     1.000	     0.640	     0.640	    12.770	     0.050	    19.950	     1.000	     1.000	   100.000	     1.000	     0.000	    12.770	     0.000
mothers day boss gift	     5.000	     1.000	     0.200	     0.560	     0.560	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
in my own boss mug	     4.000	     1.000	     0.250	     0.740	     0.740	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
wife boss to husband coffee cup	     1.000	     1.000	     1.000	     0.600	     0.600	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
wife bossto husband coffee cup	     1.000	     1.000	     1.000	     0.600	     0.600	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss ever balloons	     1.000	     1.000	     1.000	     1.070	     1.070	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss ever shot glass	     3.000	     1.000	     0.333	     0.950	     0.950	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best bosses ever	     1.000	     1.000	     1.000	     0.560	     0.560	    12.770	     0.044	    22.800	     1.000	     1.000	   100.000	     1.000	     0.000	    12.770	     0.000
best fucking boss ever	     1.000	     1.000	     1.000	     0.590	     0.590	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
8oz coffee mug lady boss	     1.000	     1.000	     1.000	     0.520	     0.520	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss coffee mugs travel	     1.000	     1.000	     1.000	     0.770	     0.770	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss day mugs funny	     1.000	     1.000	     1.000	     0.780	     0.780	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss mug 16oz	     1.000	     1.000	     1.000	     0.720	     0.720	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
coffee boss mom mug coming may 7	     3.000	     1.000	     0.333	     0.860	     0.860	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
coffee cups mugs that says boss man	     2.000	     1.000	     0.500	     0.880	     0.880	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
coffee mug for the boss	     2.000	     1.000	     0.500	     0.540	     0.540	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
coffee mug hairstyle boss lady	     1.000	     1.000	     1.000	     0.760	     0.760	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
coffee mug that says boss	     1.000	     1.000	     1.000	     0.820	     0.820	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
coffee mugs "boss" under 10 dollars	     1.000	     1.000	     1.000	     0.420	     0.420	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
coffee mugs for boss women	     1.000	     1.000	     1.000	     0.720	     0.720	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
hugo boss mug	     6.000	     1.000	     0.167	     0.190	     0.190	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
mom boss coffee mug	     6.000	     1.000	     0.167	     0.570	     0.570	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
mug best boss you've been poisoned	     1.000	     1.000	     1.000	     0.870	     0.870	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
mug great boss	     1.000	     1.000	     1.000	     0.670	     0.670	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
personalized mugs with text the best boss	     1.000	     1.000	     1.000	     0.620	     0.620	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
purple mug for boss	     3.000	     1.000	     0.333	     0.870	     0.870	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
thank you boss man mug	     2.000	     1.000	     0.500	     0.580	     0.580	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
trump mug for boss	     3.000	     1.000	     0.333	     0.820	     0.820	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worst boss ever mug	     3.000	     1.000	     0.333	     0.760	     0.760	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
coffee mugs. world best boss	     4.000	     1.000	     0.250	     0.940	     0.940	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds yoda best boss mug	     1.000	     1.000	     1.000	     0.680	     0.680	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss wife mug	     2.000	     1.000	     0.500	     0.500	     0.500	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
wife mom boss mug	    40.000	     1.000	     0.025	     0.740	     0.740	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
wife mom boss mug blue	     1.000	     1.000	     1.000	     0.760	     0.760	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
office worlds best boss	    36.000	     1.000	     0.028	     1.010	     1.010	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best boss custom	     1.000	     1.000	     1.000	     1.040	     1.040	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best boss gloves	     1.000	     1.000	     1.000	     0.960	     0.960	    12.770	     0.075	    13.300	     1.000	     1.000	   100.000	     1.000	     0.000	    12.770	     0.000
banner the best boss ever	     1.000	     1.000	     1.000	     0.650	     0.650	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss dad	     1.000	     1.000	     1.000	     1.090	     1.090	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss ever beach towel	     2.000	     1.000	     0.500	     0.710	     0.710	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss in the galaxy	     4.000	     2.000	     0.500	     1.960	     1.960	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss mug the office	     4.000	     1.000	     0.250	     0.750	     0.750	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss pictures	     4.000	     1.000	     0.250	     0.590	     0.590	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
retirement gifts for men best boss	     1.000	     1.000	     1.000	     1.070	     1.070	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss lady 16 oz mugs	     1.000	     1.000	     1.000	     0.800	     0.800	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss lady mugs microwaveable	     2.000	     1.000	     0.500	     0.580	     0.580	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
fortivo boss lady mug	    20.000	     1.000	     0.050	     0.730	     0.730	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
mug boss lady	    98.000	     6.000	     0.061	     4.620	     4.620	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
pink boss lady mug	    91.000	     2.000	     0.022	     0.840	     1.680	    26.240	     0.064	    15.620	     2.000	     2.000	   100.000	     2.000	     0.000	    26.240	     0.000
white boss lady mug	   114.000	     6.000	     0.053	     4.280	     4.280	    13.120	     0.326	    17.260	     1.000	     1.000	   100.000	     1.000	     0.000	    13.120	     0.000
boss lady coffee cups for women	     1.000	     1.000	     1.000	     0.600	     0.600	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss lady tea cup	     3.000	     1.000	     0.333	     0.630	     0.630	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
lady boss coffee cup	     1.000	     1.000	     1.000	     0.660	     0.660	    13.120	     0.050	    19.880	     1.000	     1.000	   100.000	     1.000	     0.000	    13.120	     0.000
customized coffee mug greatest boss	     1.000	     1.000	     1.000	     0.960	     0.960	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss ever coffee cup	     3.000	     1.000	     0.333	     0.890	     0.890	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss mug 20oz	     2.000	     1.000	     0.500	     0.600	     0.600	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss mug from the office	     1.000	     1.000	     1.000	     0.770	     0.770	    12.770	     0.060	    16.580	     1.000	     1.000	   100.000	     1.000	     0.000	    12.770	     0.000
best boss mug togo	     8.000	     2.000	     0.250	     1.660	     1.660	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss mugs for men	    14.000	     3.000	     0.214	     1.690	     2.470	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss mugs women	     1.000	     1.000	     1.000	     0.860	     0.860	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss travel mug turquoise	     4.000	     1.000	     0.250	     0.650	     0.650	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
dilbert best boss mug	     1.000	     1.000	     1.000	     0.760	     0.760	    13.120	     0.058	    17.260	     1.000	     1.000	   100.000	     1.000	     0.000	    13.120	     0.000
magic mugs best boss man	     5.000	     1.000	     0.200	     0.460	     0.460	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
mug for best boss	     2.000	     1.000	     0.500	     0.860	     0.860	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
the office best boss insulated mug	     1.000	     1.000	     1.000	     0.760	     0.760	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
15 oz boss lady mug	     1.000	     1.000	     1.000	     0.880	     0.880	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
being my own boss mug	     5.000	     1.000	     0.200	     0.570	     0.570	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss mug the office	    81.000	     1.000	     0.012	     0.640	     0.640	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss office accessories mug listner	     2.000	     1.000	     0.500	     0.860	     0.860	    13.120	     0.066	    15.260	     1.000	     1.000	   100.000	     1.000	     0.000	    13.120	     0.000
cat boss mug	     2.000	     1.000	     0.500	     0.650	     0.650	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
customize mug for boss	     1.000	     1.000	     1.000	     0.500	     0.500	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
dad boss mug	     1.000	     1.000	     1.000	     0.690	     0.690	    13.120	     0.053	    19.010	     1.000	     1.000	   100.000	     1.000	     0.000	    13.120	     0.000
i'm with my boss mug	     3.000	     1.000	     0.333	     0.690	     0.690	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
mug for dad words the boss	     1.000	     1.000	     1.000	     0.240	     0.240	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
mug gift for boss	     1.000	     1.000	     1.000	     0.750	     0.750	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
mug the boss boss baby	     3.000	     1.000	     0.333	     0.870	     0.870	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
mugs for my boss	     2.000	     1.000	     0.500	     0.810	     0.810	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
personalized travel mug boss male	     1.000	     1.000	     1.000	     0.620	     0.620	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
who is the boss mug	     1.000	     1.000	     1.000	     0.670	     0.670	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best boss beer mug	     1.000	     1.000	     1.000	     0.730	     0.730	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best boss mug arrow	     1.000	     1.000	     1.000	     0.300	     0.300	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best girl boss mug	     2.000	     1.000	     0.500	     0.630	     0.630	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
the world's best boss	   196.000	     1.000	     0.005	     1.080	     1.080	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best boss mig	    41.000	     1.000	     0.024	     0.780	     0.780	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best boss shot glass	     4.000	     1.000	     0.250	     0.810	     0.810	    12.990	     0.062	    16.040	     1.000	     1.000	   100.000	     1.000	     0.000	    12.990	     0.000
worlds best boss sparkle	     1.000	     1.000	     1.000	     0.820	     0.820	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss 2020	     3.000	     1.000	     0.333	     1.040	     1.040	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss coffee	     3.000	     1.000	     0.333	     0.780	     0.780	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss cup gifts	     2.000	     1.000	     0.500	     0.880	     0.880	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss cup with lid	     2.000	     1.000	     0.500	     0.800	     0.800	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss ever patriotic	     1.000	     1.000	     1.000	     0.660	     0.660	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss gift for woman	     1.000	     1.000	     1.000	     1.010	     1.010	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss gifts for men customize	     1.000	     1.000	     1.000	     0.780	     0.780	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss gifts for men docking station	     3.000	     1.000	     0.333	     1.100	     1.100	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss happy birthday	     1.000	     1.000	     1.000	     0.920	     0.920	    11.040	     0.083	    12.000	     1.000	     1.000	   100.000	     1.000	     0.000	    11.040	     0.000
best boss trump	     4.000	     1.000	     0.250	     0.840	     0.840	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
coworker best boss gifts	     1.000	     1.000	     1.000	     0.900	     0.900	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
cup for best boss	     1.000	     1.000	     1.000	     0.520	     0.520	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
funny best boss gifts	    22.000	     1.000	     0.045	     1.000	     1.000	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gifts for best boss	     1.000	     1.000	     1.000	     1.100	     1.100	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
juice cup heat changing best boss	     1.000	     1.000	     1.000	     0.790	     0.790	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
sentimental best boss gift	     2.000	     1.000	     0.500	     1.010	     1.010	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
works best boss mug	   115.000	     2.000	     0.017	     2.080	     2.080	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
yoda best boss mug	   118.000	     1.000	     0.008	     1.090	     1.090	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
your the best boss	     1.000	     1.000	     1.000	     0.610	     0.610	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
mug keep calm i am the boss	     3.000	     1.000	     0.333	     0.580	     0.580	    11.040	     0.053	    19.030	     1.000	     1.000	   100.000	     1.000	     0.000	    11.040	     0.000
husband boss mug	     3.000	     1.000	     0.333	     0.660	     0.660	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss lady large mug black and gold	     5.000	     1.000	     0.200	     0.760	     0.760	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss lady mug pink 16 oz	     4.000	     1.000	     0.250	     0.620	     0.620	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss lady mug white	     0.000	     0.000	     0.000	     0.000	     0.000	    22.300	     0.000	     0.000	     2.000	     2.000	     0.000	     2.000	     0.000	    22.300	     0.000
